"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 11:18:10 GMT 2024","Fri Jan 19 11:18:15 GMT 2024","5550","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Title alignment setting",""
"passed","Fri Jan 19 11:17:37 GMT 2024","Fri Jan 19 11:17:46 GMT 2024","9166","","includes/widgets/rating/content-panel.test.ts","Rating content panel - Icon Experiment inactive @rating","","","Functionality test - Icon Experiment: inactive",""
"passed","Fri Jan 19 11:19:14 GMT 2024","Fri Jan 19 11:19:25 GMT 2024","11110","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test icon_hover template",""
"passed","Fri Jan 19 11:20:30 GMT 2024","Fri Jan 19 11:20:47 GMT 2024","17284","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""header-footer-elementor"" plugin: @pluginTester1_containers",""
"passed","Fri Jan 19 11:22:46 GMT 2024","Fri Jan 19 11:22:52 GMT 2024","6760","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check title long title alignment",""
"passed","Fri Jan 19 11:19:02 GMT 2024","Fri Jan 19 11:19:14 GMT 2024","11664","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image_box_hover template",""
"passed","Fri Jan 19 11:19:43 GMT 2024","Fri Jan 19 11:19:48 GMT 2024","5719","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment inactive @nested-accordion","","","Nested-accordion should not appear in widgets panel",""
"passed","Fri Jan 19 11:20:52 GMT 2024","Fri Jan 19 11:20:56 GMT 2024","3153","","elements-panel.test.ts","","","","block adding from panel an inner section inside an inner section",""
"passed","Fri Jan 19 11:19:08 GMT 2024","Fri Jan 19 11:19:14 GMT 2024","5652","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the icons don't disappear when the tab title is updated",""
"passed","Fri Jan 19 11:17:41 GMT 2024","Fri Jan 19 11:17:49 GMT 2024","7917","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:tablet - Experiment breakpoints:Off",""
"passed","Fri Jan 19 11:18:23 GMT 2024","Fri Jan 19 11:18:31 GMT 2024","8530","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: active @rating","","","Rating flex-wrap styling: active",""
"passed","Fri Jan 19 11:20:03 GMT 2024","Fri Jan 19 11:20:15 GMT 2024","11308","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test testimonial template",""
"passed","Fri Jan 19 11:20:48 GMT 2024","Fri Jan 19 11:20:52 GMT 2024","4674","","elements-panel.test.ts","","","","add widgets from the panel by click",""
"passed","Fri Jan 19 11:18:10 GMT 2024","Fri Jan 19 11:18:30 GMT 2024","19850","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test accordion template",""
"passed","Fri Jan 19 11:20:33 GMT 2024","Fri Jan 19 11:20:42 GMT 2024","8887","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Test the hover animation",""
"passed","Fri Jan 19 11:23:06 GMT 2024","Fri Jan 19 11:23:12 GMT 2024","5550","","video.test.ts","Video tests inside a section","","","Verify that there is no gap between the video widget and the section",""
"passed","Fri Jan 19 11:18:06 GMT 2024","Fri Jan 19 11:18:14 GMT 2024","7394","","container-grid.test.ts","Container Grid tests @container","","","Test grid outline",""
"passed","Fri Jan 19 11:18:46 GMT 2024","Fri Jan 19 11:18:54 GMT 2024","7930","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-carousel link control",""
"passed","Fri Jan 19 11:19:37 GMT 2024","Fri Jan 19 11:19:52 GMT 2024","15152","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test counter template",""
"passed","Fri Jan 19 11:18:54 GMT 2024","Fri Jan 19 11:19:00 GMT 2024","5920","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify social-icons link control",""
"passed","Fri Jan 19 11:18:22 GMT 2024","Fri Jan 19 11:18:28 GMT 2024","6380","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion FAQ Schema",""
"passed","Fri Jan 19 11:18:09 GMT 2024","Fri Jan 19 11:18:20 GMT 2024","11079","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile_extra - Experiment breakpoints:On",""
"passed","Fri Jan 19 11:18:29 GMT 2024","Fri Jan 19 11:18:48 GMT 2024","18726","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""astra-sites"" plugin: @pluginTester1_sections",""
"passed","Fri Jan 19 11:22:26 GMT 2024","Fri Jan 19 11:22:31 GMT 2024","4927","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs stretch for top direction",""
"passed","Fri Jan 19 11:17:58 GMT 2024","Fri Jan 19 11:18:16 GMT 2024","18606","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""powerpack-lite-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Fri Jan 19 11:18:11 GMT 2024","Fri Jan 19 11:18:16 GMT 2024","4382","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Video widget",""
"passed","Fri Jan 19 11:18:48 GMT 2024","Fri Jan 19 11:19:06 GMT 2024","17829","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""connect-polylang-elementor"" plugin: @pluginTester1_sections",""
"passed","Fri Jan 19 11:18:53 GMT 2024","Fri Jan 19 11:19:04 GMT 2024","11088","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:widescreen - Experiment breakpoints:On",""
"passed","Fri Jan 19 11:21:59 GMT 2024","Fri Jan 19 11:22:20 GMT 2024","21467","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""ooohboi-steroids-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Fri Jan 19 11:18:18 GMT 2024","Fri Jan 19 11:18:25 GMT 2024","7028","","video.test.ts","Video tests inside a container @video","","","Choose image test",""
"passed","Fri Jan 19 11:17:49 GMT 2024","Fri Jan 19 11:17:57 GMT 2024","7529","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:All - Experiment breakpoints:Off",""
"passed","Fri Jan 19 11:20:00 GMT 2024","Fri Jan 19 11:20:12 GMT 2024","12220","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test tabs template",""
"passed","Fri Jan 19 11:19:13 GMT 2024","Fri Jan 19 11:19:29 GMT 2024","16640","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_sections",""
"passed","Fri Jan 19 11:19:39 GMT 2024","Fri Jan 19 11:19:42 GMT 2024","3745","","button.test.ts","","","","Button controls should return to default",""
"passed","Fri Jan 19 11:17:40 GMT 2024","Fri Jan 19 11:17:56 GMT 2024","16310","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","General test",""
"passed","Fri Jan 19 11:21:36 GMT 2024","Fri Jan 19 11:21:56 GMT 2024","20768","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check that background video is loaded in multiple content containers",""
"passed","Fri Jan 19 11:22:21 GMT 2024","Fri Jan 19 11:22:26 GMT 2024","4966","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs stretch for right direction",""
